cuve;date;produit;debut_compteur;sorti;entre;fin_compteur
AEROPORT T305;06/11/2021 10:58;JET A1;4105;1000;0;3105
AEROPORT T306;06/11/2021 10:58;JET A1;7912;1000;0;6912
AEROPORT T307;06/11/2021 10:58;JET A1;4758;1000;0;3758
AEROPORT T308;06/11/2021 10:58;JET A1;49088;1000;0;48088
ANJOUAN T03;06/11/2021 11:02;PETROLE;4298;1000;0;3298
ANJOUAN T05;06/11/2021 11:02;PETROLE;10481;1000;0;9481
ANJOUAN T06;06/11/2021 11:02;PETROLE;12520;1000;0;11520
ANJOUAN T07;06/11/2021 11:02;ESSENCE;486289;1000;0;485289
ANJOUAN T08;06/11/2021 11:02;ESSENCE;804197;1000;0;803197
ANJOUAN T09;06/11/2021 11:02;GASOIL;1257581;1000;0;1256581
ANJOUAN T10;06/11/2021 11:02;PETROLE;788720;1000;0;787720
ANJOUAN T11;06/11/2021 11:02;GASOIL;1469739;1000;0;1468739
MOHELI TANK 01;06/11/2021 09:42;ESSENCE;14771;1000;0;13771
MOHELI TANK 02;06/11/2021 09:42;ESSENCE;21278;1000;0;20278
MOHELI TANK 03;06/11/2021 09:42;ESSENCE;21222;1000;0;20222
MOHELI TANK 04;06/11/2021 09:42;ESSENCE;21227;1000;0;20227
MOHELI TANK 05;06/11/2021 09:43;Petrole ;2756;1000;0;1756
MOHELI TANK 06;06/11/2021 09:43;PETROLE;2812;1000;0;1812
MOHELI TANK 07;06/11/2021 09:43;PETROLE;1897;1000;0;897
MOHELI TANK 08;06/11/2021 09:42;PETROLE;1379;1000;0;379
MOHELI TANK 09;06/11/2021 09:42;PETROLE;1734;1000;0;734
MOHELI TANK 10;06/11/2021 09:43;GASOIL;5568;1000;0;4568
MOHELI TANK 11;06/11/2021 09:43;GASOIL;49865;1000;0;48865
MOHELI TANK 12;06/11/2021 09:42;ESSENCE;49217;1000;0;48217
MOHELI TANK 13;06/11/2021 09:43;GASOIL;3269;1000;0;2269
MOHELI TANK 14;06/11/2021 09:43;GASOIL;3306;1000;0;2306
MORONI T101;06/11/2021 10:59;GASOIL;56643;1000;0;55643
MORONI T102;06/11/2021 10:59;GASOIL;409718;1000;0;408718
MORONI T103;06/11/2021 10:59;GASOIL;1773546;1000;0;1772546
MORONI T104;06/11/2021 10:59;ESSENCE;1169796;1000;0;1168796
MORONI T106;06/11/2021 10:59;JET A1;669099;1000;0;668099
MORONI T107;06/11/2021 10:59;JET A1;47787;1000;0;46787
